id	family	source_games	portable_mechanic	arc3_research_use	guardrail	evidence_url
f011	panel-topology	Continuity	Rearrange view panels so edges that were visually separate become traversable neighbors.	Test local/global reference frames and topology construction.	Use grid-discrete panel operations and a different visual grammar.	http://continuitygame.com/
f012	light-as-solidity	Closure	Visibility controls collision rather than merely revealing existing terrain.	Make observation or illumination a causal actuator.	Use turn-based deterministic light regions rather than copying the platformer.	https://www.newgrounds.com/portal/view/480006
f013	multiplying-agency	Enough Plumbers	Collecting an object spawns another body that shares subsequent controls.	Test planning with coupled bodies whose population changes endogenously.	Do not use platformer movement, coins, or plumber imagery.	https://www.newgrounds.com/portal/view/534961
f014	orientation-footprint	Bloxorz	A rigid body's orientation changes its occupied cells and which surfaces it can activate.	Probe embodied spatial prediction and footprint-aware planning.	Use a new polyform and new interaction rules rather than a rolling cuboid clone.	https://www.miniclip.com/games/bloxorz/en/
f015	order-dependent-transformation	Factory Balls	A target can be produced only by sequencing reversible and masking operations correctly.	Measure procedural planning and noncommutative transformation algebra.	Use abstract state layers rather than painted balls and familiar craft tools.	https://www.newgrounds.com/portal/view/449657
f016	order-dependent-growth	GROW series	Every intervention changes how later interventions develop, so action order defines the final system.	Test long-horizon credit assignment in a compact deterministic world.	Do not copy icons, animation sequences, or permutation tables.	https://www.eyezmaze.com/sp/
f017	synchronized-causal-chain	Hapland	Small interventions trigger timed chains in which order and synchronization both matter.	Test causal discovery followed by exact multi-stage execution.	Eliminate pixel hunting and irrelevant decoys; every cue must be legible.	https://foon.uk/farcade/hapland/
f018	tactile-affordance-discovery	Windosill; Feed the Head	Objects advertise unusual transformations through direct manipulation and immediate animation.	Teach unfamiliar tools without language, then compose them causally.	Do not imitate Vectorpark's creatures, rooms, or surreal art.	http://windosill.com/ http://vectorpark.com/head/
f019	compressed-observation	I-Sense; Wolfenstein 1D	A rich space is exposed only through sparse pings or a radically compressed projection.	Measure active sensing and reconstruction of latent geometry.	Provide a deterministic sensor budget; exclude audio-only requirements.	https://sandyloisa.weebly.com/i-sense.html http://www.wonder-tonic.com/wolf1d/
f020	exploration-reveals-map	Small Worlds	Movement gradually converts an unreadable field into a coherent world map.	Measure exploration policy and memory of newly contextualized observations.	Discovery must change knowledge, not hide required pixels arbitrarily.	https://armorgames.com/play/4850/small-worlds
f021	freeform-physics-construction	Fantastic Contraption	Build a functioning machine from a small vocabulary of joints and materials.	Evaluate tool construction and causal simulation.	Quantize placement and physics to eliminate motor precision and unstable replay.	https://www.kongregate.com/games/inxile_ent/fantastic-contraption
f022	drawn-geometry	Magic Pen; Sugar, Sugar	Player-authored strokes become terrain that redirects physical objects.	Study externalized planning and geometry creation.	Replace freehand precision with snapped segments for deterministic API play.	https://www.newgrounds.com/portal/view/433935 https://armorgames.com/play/10638/sugar-sugar
f023	place-then-simulate	Dynamic Systems	Arrange and rotate a bounded part set, then observe a deterministic cascade.	Separate model construction from execution and revision.	Use discrete sockets and exact state transitions, not fragile Box2D tuning.	https://www.kongregate.com/games/LorenzGames/dynamic-systems
f024	open-machine-synthesis	Personal Universe	Power sources and modular blocks support many valid machines for the same task.	Measure whether agents discover reusable causal modules.	Constrain the component grammar enough for proof, replay, and random resistance.	https://jayisgames.com/review/personal-universe.php
f025	limited-geometry-deletion	Splitter; 3 Slices	A tiny budget of cuts changes topology and lets gravity finish the task.	Test counterfactual choice of a high-leverage intervention.	Use grid-aligned cuts and symbolic mass rather than continuous slicing precision.	https://www.kongregate.com/games/EvgenyKarataev/splitter https://www.kongregate.com/games/GazThomas/3-slices
f026	stability-constraint	Super Stacker; Red Remover	Success depends on manipulating a structure while preserving selected bodies and support relations.	Probe support reasoning and inhibition of locally attractive removals.	Use exact cell supports and a novel silhouette grammar.	https://www.andkon.com/arcade/puzzle/superstacker/ https://www.newgrounds.com/portal/view/503275
f027	cut-and-route	Civiballs	Severing selected constraints releases bodies into color-specific destinations.	Test causal graph pruning and ordering of irreversible releases.	Represent ropes and motion discretely; do not copy historical skins or vases.	https://www.coolmathgames.com/0-civiballs
f028	exact-flow-accounting	Liquid Measure	Split and route a conserved quantity into containers with exact capacities.	Test conservation induction and resource routing.	Avoid written numbers; encode capacities spatially and prove conservation visually.	https://www.kongregate.com/games/smartcode/liquid-measure-2
f029	field-steering	Auditorium; Eon	Place local fields that bend continuous-looking streams into targets.	Test indirect control, superposition, and global consequences of local fields.	Implement deterministic cellular flow rather than floating-point particle tuning.	https://www.cipherprime.com/games/auditorium/ https://www.newgrounds.com/portal/view/528606
f030	environmental-inflation	PileOBubbles	Changing the size of passive environmental bodies indirectly lifts and redirects a linked payload.	Test nonlocal manipulation through contact networks.	Use discrete radii and novel materials; avoid elastic-thread imagery.	http://wickedpissahgames.com/
f031	attach-to-animate	Wake Up the Box	New rigid parts can be attached only to certain materials, turning static geometry into a machine.	Probe affordance classification before construction.	Use grid joints and a non-character goal.	https://www.andkon.com/arcade/puzzle/wakeupthebox/
f032	component-routing	Electric Box	Typed components transform and relay a signal across a sparse board.	Test functional composition and debugging of a constructed circuit.	Use a distinct signal algebra, not household electrical iconography.	https://jayisgames.com/review/electric-box.php
f033	program-by-demonstration	Light-Bot	Compose movement primitives into reusable procedures, conditionals, and recursion.	Measure procedural abstraction without requiring source code syntax.	Use spatial tokens only and avoid the robot-lighting task.	https://www.newgrounds.com/portal/view/459508
f034	finite-state-filter	Manufactoria	A conveyor machine accepts or rejects strings by routing tokens according to state.	Probe induction and construction of compact automata.	Replace text-like strings with spatially grounded event sequences.	https://pleasingfungus.com/Manufactoria/
f035	spatiotemporal-machine	The Codex of Alchemical Engineering	Build cyclic arms and transformers whose geometry and timing jointly produce a target.	Measure modular synthesis, scheduling, and invariants.	Use a different machine vocabulary and discrete collision rules.	https://www.kongregate.com/games/krispykrem/the-codex-of-alchemical-engineering
f036	path-created-by-defense	Desktop Tower Defense	Placed defenses also become walls that reshape an adversary's route.	Test coupled optimization where a tool's spatial side effect is as important as its nominal function.	Remove combat economics and use deterministic walkers with abstract blockers.	https://armorgames.com/play/1128/desktop-tower-defense-15
f037	continuous-threat-field	Creeper World	A spreading field obeys local flow while the player creates containment and supply structure.	Test spatial intervention against a continuous-looking adversarial process.	Use cellular conservation and short levels rather than RTS accumulation.	https://www.y8.com/games/creeper_world_evermore
f038	node-flow-timing	Tentacle Wars; Phage Wars	Nodes accumulate strength and transfer it continuously, making timing and partial commitment central.	Probe network control and temporary imbalance.	Use a noncombat visual language and deterministic transfer quanta.	https://www.newgrounds.com/portal/view/555568 https://armorgames.com/play/2675/phage-wars
f039	modular-combination	GemCraft	Merge components to trade specialization, range, and power before placing them in a system.	Test compositional tool semantics and opportunity cost.	Avoid tower defense, currency grind, and gem imagery.	https://armorgames.com/play/1716/gemcraft
f040	prepare-then-endure	The Last Stand	A planning phase allocates scarce effort, and a later autonomous phase exposes the plan's consequences.	Test delayed credit assignment across different operating regimes.	Use abstract maintenance and deterministic hazards, not violence or random scavenging.	https://armorgames.com/play/269/the-last-stand
f041	single-intervention-chain	Boomshine	One intervention starts a finite chain reaction whose reach depends on predicted future contacts.	Test counterfactual placement and causal amplification.	Make trajectories discrete and fully inferable from prior demonstrations.	https://www.k2xl.com/games/boomshine/
f042	mass-as-tool	Spewer	The controlled body can emit and recover material, changing both the environment and its own movement capacity.	Probe conservation, self-modification, and resource placement.	Use abstract fluid cells and remove gross-out theme and dexterity.	https://www.newgrounds.com/portal/view/494129
f043	size-changes-affordance	Sushi Cat	Accumulating material changes body size and therefore later traversal and collisions.	Test planning where reward consumption alters future reachability.	Use deterministic pickups and a non-pachinko spatial system.	https://www.newgrounds.com/portal/view/529334
f044	role-specific-local-fields	Meeblings	Each agent type emits a local attraction, repulsion, or conversion field affecting its peers.	Measure selection and composition of distributed tools.	Use a novel agent grammar and turn-based field resolution.	https://www.newgrounds.com/portal/view/496349
f045	capability-through-transformation	The Visitor	Interacting with particular entities changes the controlled body's later affordances.	Test identity and tool acquisition through irreversible state transitions.	Remove horror, predation, narrative, and copied transformation sequence.	https://armorgames.com/play/915/the-visitor
f046	minimal-rule-hybrid	Side Effect	A placement rule combines path connection, matching, and self-created future constraints.	Study how simple local actions produce long-horizon board debt.	Design a new algebra rather than recombining Tetris visuals.	https://games.jayisgames.com/review/side-effect.php
f047	ambient-force-cultivation	Eon	The player coaxes a system by modifying forces rather than directly moving the payload.	Test whether an agent can reason about stable indirect control.	Quantize fields and provide exact visual state, not particle ambiguity.	https://jayisgames.com/review/eon.php
f048	unknown-machine-discovery	Clack	The player is dropped into a compact animated mechanism and infers both objective and rules through experimentation.	Measure active causal discovery without a stated goal.	Every component must have repeatable consequences; avoid pure interface obscurity.	https://www.jayisgames.com/review/clack.php
