id	internal_title	primary_axis	secondary_axis	interaction_model	concept	differentiator	anticipated_ai_failure	lineage
a011	Fuse Surgeon	repair-and-maintenance-planning	fault-containment	cut-and-bridge	A spreading overload travels through a visible circuit toward healthy districts. The player may cut two links and bridge one alternate route, isolating the damaged region without starving the goal district.	Success requires containment plus preserved service, not merely stopping propagation.	over-isolates-and-destroys-function	gpt-seeded-anthropic-build
a012	Maintenance Window	repair-and-maintenance-planning	periodic-opportunity	timed-service	Rotating machinery exposes safe service openings on different phases. Worn parts visibly approach failure, and the player must choose which service to perform during each short opening before a final production run.	The core problem is deadline-aware preventive maintenance under mutually exclusive windows.	optimizes-immediate-wear-only	gpt-seeded-anthropic-build
a013	Cannibal Workshop	repair-and-maintenance-planning	functional-substitution	disassemble-and-reuse	Four incomplete devices need three functions each, but spare modules are scarce. The player dismantles a nonessential device and redistributes compatible parts so a required subset can operate together.	Components have interface constraints and one donor may sacrifice itself; this is repair through reconfiguration.	preserves-every-device-and-finishes-none	gpt-seeded-anthropic-build
a014	Sealant Trail	repair-and-maintenance-planning	path-dependence	mobile-repair	A repair drone leaves curing sealant behind and cannot cross wet repairs. It must seal every crack in a chamber while preserving its own route to the exit and allowing repaired pressure zones to reactivate.	Repair geometry changes navigability continuously, unlike ordinary visit-all paths.	blocks-future-access-with-valid-repairs	gpt-seeded-anthropic-build
a015	Calibration Crew	repair-and-maintenance-planning	mutual-dependency	alternating-control	Two machines calibrate one another: each can measure the other but cannot measure itself. The player alternates adjustments while neither machine may leave its safe range for more than one turn.	Mutual calibration creates a coupled repair process with temporary tolerance constraints.	calibrates-each-machine-independently	gpt-seeded-anthropic-build
a016	Graceful Degradation	repair-and-maintenance-planning	priority-preservation	failure-response	A modular vehicle begins losing components during travel. The player reroutes power and drops optional functions after each visible failure, preserving steering and braking long enough to reach the dock.	There is no full repair; the task is maintaining a minimum viable capability set under progressive damage.	chases-full-restoration-instead-of-core-function	gpt-seeded-anthropic-build
a017	Bent Compass	sensorimotor-calibration	control-remapping	calibrate-then-navigate	Movement arrows are transformed by an unknown fixed reflection and rotation. A safe calibration pad permits three moves with visible displacement before the player crosses a hazard field where every mistake consumes terrain.	The mapping is learned from action-outcome pairs, not inferred from camera orientation.	uses-screen-relative-priors-after-calibration	gpt-seeded-anthropic-build
a018	Reversed Joint	sensorimotor-calibration	body-schema	manipulate-articulation	A two-link arm has one joint wired with reversed direction and unknown zero orientation. The player tests it in free space, then threads the arm through narrow sockets without touching walls.	Separate joint mappings must be composed into an end-effector model.	controls-endpoint-without-joint-model	gpt-seeded-anthropic-build
a019	Sticky Controls	sensorimotor-calibration	hysteresis	adaptive-steering	Each directional command persists for an unknown number of ticks unless canceled by its opposite. A practice lane reveals the persistence; later lanes require braking early around moving obstacles.	Control has memory, so identical commands produce different motion depending on recent input.	treats-actions-as-memoryless	gpt-seeded-anthropic-build
a020	Mixed Axes	sensorimotor-calibration	contextual-mapping	region-dependent-control	Horizontal and vertical commands are independently permuted inside colored floor regions. Boundary markers show regime changes, and the player must carry a rolling object through several regions without stopping it.	Mappings factor by axis and region instead of changing as one global rotation.	relearns-whole-policy-at-each-boundary	gpt-seeded-anthropic-build
a021	Delayed Rudder	sensorimotor-calibration	action-delay	predictive-control	A boat executes steering commands after a fixed but initially unknown delay shown through queued wake marks. The player estimates the delay in open water, then navigates a narrow moving channel.	The action is correct but temporally displaced, demanding queue-aware control rather than remapping.	corrects-current-error-with-delayed-actions	gpt-seeded-anthropic-build
a022	Gain Garden	sensorimotor-calibration	action-magnitude	graded-control	The same push moves one, two, or three cells depending on an unknown soil zone. Movable test stones reveal local gain, after which fragile seeds must be positioned exactly without overshoot.	Control magnitude varies spatially while direction stays stable.	learns-direction-but-not-action-gain	gpt-seeded-anthropic-build
a023	Dead Zone	sensorimotor-calibration	threshold-control	force-accumulation	A slider ignores small repeated pushes until accumulated force crosses an unknown threshold, then jumps by the excess. The player identifies thresholds for several sliders and aligns them without collision.	Subthreshold actions alter latent actuator state despite no visible movement.	discards-no-motion-actions-as-no-effect	gpt-seeded-anthropic-build
a024	Crosswind Calibration	sensorimotor-calibration	disturbance-estimation	closed-loop-navigation	Every move combines the command with a constant hidden drift whose direction changes only between levels. A sheltered strip exposes pure commands, while flags outside reveal net displacement through the field.	The player must separate actuator mapping from an additive environmental disturbance.	attributes-drift-to-wrong-control-map	gpt-seeded-anthropic-build
a025	Which Hand	action-binding-and-control-disambiguation	body-ownership	probe-control	Two identical cursors move, but only one responds directly; the other follows a deterministic autonomous rule. Cheap neutral actions identify the controlled cursor before either approaches irreversible switches.	The unknown is ownership of effects, not object identity or appearance.	assigns-agency-from-correlated-motion	gpt-seeded-anthropic-build
a026	Coupled Buttons	action-binding-and-control-disambiguation	combinatorial-actuation	chorded-input	Four floor buttons respond to pairs of directional inputs rather than single actions. The player discovers the chord-to-button binding, then activates a spatial sequence while avoiding forbidden chords.	Primitive actions acquire effects only in simultaneous combinations.	searches-single-action-affordances-only	gpt-seeded-anthropic-build
a027	Echo Effector	action-binding-and-control-disambiguation	delayed-correspondence	act-and-observe	Commands produce immediate decoy flashes and delayed physical changes in different locations. Repeated timing comparisons reveal which delayed effect belongs to which command.	Salient immediate feedback is explicitly noncausal, testing temporal binding.	binds-action-to-most-salient-nearby-event	gpt-seeded-anthropic-build
a028	Shared Pedal	action-binding-and-control-disambiguation	state-dependent-target	contextual-actuation	One pedal controls whichever machine currently has the lowest visible pressure, so its target changes after every use. The player must predict reassignment while balancing several machines.	A stable action has a dynamically selected recipient rather than a fixed endpoint.	assumes-persistent-action-target	gpt-seeded-anthropic-build
a029	Latent Cursor	action-binding-and-control-disambiguation	selection-state	select-then-act	Movement commands affect the last object touched by a roaming highlight that disappears after selection. The player tracks the latent selection while objects cross and later issues remote moves.	Control state becomes invisible while appearance and positions continue changing.	loses-hidden-selection-binding	gpt-seeded-anthropic-build
a030	Ownership Flash	action-binding-and-control-disambiguation	intermittent-observation	alternating-control	Control rotates among three bodies, but the ownership marker appears only on every fourth turn. The player infers the intervening rotation law and coordinates bodies onto simultaneous sockets.	Agency must be propagated between sparse ownership observations.	reanchors-control-only-when-marker-visible	gpt-seeded-anthropic-build
a031	Branching Actuator	action-binding-and-control-disambiguation	latent-mode	mode-identification	A lever alternates between pushing its near branch and pulling its far branch according to a hidden two-state actuator mode. Consequences reveal mode, but each consequence also changes the branch geometry.	Inferring actuator state is entangled with changing world state.	confuses-world-change-with-control-mode	gpt-seeded-anthropic-build
a032	Command Arbitration	action-binding-and-control-disambiguation	priority-rules	multi-controller	The player and two visible automatic controllers issue commands to one platform each turn. An unknown but stable priority rule resolves conflicts; the player must infer arbitration and exploit lower-priority commands as blockers.	Observed motion is the result of command resolution, not any single policy.	attributes-resolved-action-to-one-controller	gpt-seeded-anthropic-build
a033	Twin Stacks	algorithmic-container-manipulation	last-in-first-out	push-pop-routing	Two vertical wells expose only their top pieces. The player transfers colored shapes between wells and output sockets, using the wells as stacks to realize a target order without ever seeing buried pieces directly.	The puzzle isolates LIFO state and temporary storage rather than physical packing.	forgets-buried-container-order	gpt-seeded-anthropic-build
a034	Queue Garden	algorithmic-container-manipulation	first-in-first-out	enqueue-dequeue	Seeds enter three opaque irrigation channels and emerge in insertion order after different visible delays. The player schedules arrivals so compatible plants meet at shared beds.	FIFO order combines with channel latency; items cannot be reordered inside a channel.	treats-queues-as-random-storage	gpt-seeded-anthropic-build
a035	Ring Buffer	algorithmic-container-manipulation	bounded-memory	write-and-rotate	A circular rack holds the last six inserted tiles and overwrites the oldest when full. The player controls insertion and one-step rotation to present a requested stream at the output gate.	Success depends on bounded overwrite semantics, not merely cyclic movement.	forgets-eviction-order	gpt-seeded-anthropic-build
a036	Stable Sorter	algorithmic-container-manipulation	stable-order	comparison-network	Crates have visible size and hidden arrival color revealed only at the exit. Pairwise comparators may swap by size, but equal-size crates must preserve their original relative order to satisfy receivers.	The target distinguishes stable sorting from any size-sorted permutation.	breaks-ties-arbitrarily	gpt-seeded-anthropic-build
a037	Heap Orchard	algorithmic-container-manipulation	priority-structure	local-swap	Fruit values are encoded by area. The player may swap only parent-child positions in a tree and repeatedly harvest the root, maintaining a max-heap so every harvest is the current largest.	Local structural invariants must be maintained across repeated removals.	solves-one-extraction-and-breaks-invariant	gpt-seeded-anthropic-build
a038	Deque Ferry	algorithmic-container-manipulation	double-ended-access	load-unload	A narrow ferry accepts and releases cargo only at its two ends. Dock requests arrive spatially, and the player chooses front or back operations to serve them without moving internal cargo.	Both ends are controllable but the interior remains inaccessible.	plans-as-if-arbitrary-removal-is-available	gpt-seeded-anthropic-build
a039	Register Swap	algorithmic-container-manipulation	permutation-operations	sequence-programming	Four visible registers hold shapes; the only operations swap adjacent registers or rotate three. The player must transform several start states with one reusable short operation sequence.	A single program must generalize across inputs, excluding state-specific search traces.	overfits-operation-sequence-to-first-state	gpt-seeded-anthropic-build
a040	Tape Head	algorithmic-container-manipulation	finite-memory	read-write-move	A head walks along a strip, reads colors, writes one of two marks, and changes its tiny visible internal state. The player configures a transition table geometrically so the autonomous head converts every input strip correctly.	The artifact being built is a finite-state algorithm, not a path or physical tool.	fails-to-separate-control-state-from-tape-state	gpt-seeded-anthropic-build
a041	Race Gate	concurrency-and-interleaving	race-condition	alternate-actions	Two autonomous carriers read and write shared floor switches on the same ticks. The player inserts waits so their operations occur in a safe order and a gate sees both required states.	Each carrier is correct alone; failure emerges only from an interleaving.	reasons-about-trajectories-without-event-order	gpt-seeded-anthropic-build
a042	Semaphore Garden	concurrency-and-interleaving	mutual-exclusion	place-tokens	Two workers need a one-cell tunnel and can deadlock face to face. Movable semaphore tokens are obeyed by both workers, and the player places them to guarantee exclusive passage under either arrival order.	The solution must work for two visibly possible schedules, not one replayed timing.	memorizes-one-schedule-instead-of-synchronizing	gpt-seeded-anthropic-build
a043	Atomic Crossing	concurrency-and-interleaving	atomicity	group-commit	A bridge collapses if only one of two coupled locks changes before a cart crosses. The player may bundle selected switch changes into one atomic action using a limited clamp.	Correct final switch states are insufficient; the transition itself must be indivisible.	validates-end-state-but-not-intermediate-state	gpt-seeded-anthropic-build
a044	Deadlock Dock	concurrency-and-interleaving	resource-deadlock	grant-and-release	Three boats each hold one colored lock and request another. The player can order releases and grants but cannot force a boat to relinquish after it receives its second lock.	Avoiding circular wait is the central mechanic; no route or collision solution bypasses it.	greedily-grants-resources-and-creates-cycle	gpt-seeded-anthropic-build
a045	Barrier Beat	concurrency-and-interleaving	barrier-synchronization	phase-control	Several agents traverse unequal loops and may wait at striped barriers. Opening a barrier releases every waiting agent together; the player uses barrier phases to align their final arrivals.	Synchronization acts on a set of waiting processes rather than individual timers.	releases-fast-agent-before-slow-cohort-arrives	gpt-seeded-anthropic-build
a046	Interrupt Loom	concurrency-and-interleaving	preemption	interrupt-and-resume	Two weaving automata share a shuttle. The player may preempt either only at visible safe states, preserving its local pattern while the other uses the shuttle.	Preemption carries resumable internal state and unsafe interruption consequences.	restarts-routine-after-preemption	gpt-seeded-anthropic-build
a047	Two-Phase Move	concurrency-and-interleaving	commit-protocol	prepare-commit	Tiles first reserve destinations, then all prepared moves commit together. The player controls prepare and commit pulses so multiple bodies exchange places without conflicting reservations.	Movement is explicitly split into intention and atomic realization.	confuses-reservation-with-completed-motion	gpt-seeded-anthropic-build
a048	Livelock Lights	concurrency-and-interleaving	symmetry-breaking	policy-intervention	Two polite robots repeatedly step aside in mirrored directions and never pass. The player can alter one robot's short response rule once, breaking livelock without causing collision.	Both agents keep moving and remain safe, so progress failure is not a deadlock.	mistakes-activity-for-progress	gpt-seeded-anthropic-build
a049	Bottleneck Bins	queueing-and-backpressure	capacity-planning	route-flow	Items flow into branching bins whose finite capacities are visible. Closing downstream gates propagates congestion upstream, and the player meters releases to prevent the source from overflowing.	Queue occupancy changes what upstream actions are possible; paths alone do not explain flow.	ignores-backpressure-propagation	gpt-seeded-anthropic-build
a050	Spillback City	queueing-and-backpressure	blocking-networks	signal-control	Carts queue at a small street grid. Letting one cart enter a full downstream segment blocks the intersection and can freeze every route; the player controls lights to preserve empty escape cells.	Local green-light progress can produce global gridlock through spillback.	maximizes-local-throughput-into-gridlock	gpt-seeded-anthropic-build
a051	Priority Chute	queueing-and-backpressure	priority-scheduling	admit-and-serve	Three chutes feed one server. Urgent items visibly decay faster, but too many priority admissions starve ordinary items required for the final pattern.	The scheduler must balance deadlines and starvation rather than sort one static list.	serves-only-highest-priority-class	gpt-seeded-anthropic-build
a052	Batch Furnace	queueing-and-backpressure	batching	group-service	A furnace consumes a fixed pulse whether processing one compatible tile or four. Arrivals have different cooling windows, so the player groups batches without letting rare tiles expire.	Efficiency comes from batching under deadlines, not route minimization.	processes-each-arrival-immediately	gpt-seeded-anthropic-build
a053	Service Rhythm	queueing-and-backpressure	service-rates	capacity-switching	Two service stations alternate fast and slow phases while arrivals continue. The player reroutes queues before rate changes, using visible phase cues to avoid oscillating overload.	Capacity is time-varying and queues retain history across phases.	routes-by-current-shortest-queue-only	gpt-seeded-anthropic-build
a054	Merge Meter	queueing-and-backpressure	fair-merging	gate-control	Two endless lanes merge into one finite buffer. Receivers require a bounded alternation of colors, so the player meters entries to satisfy fairness while keeping the buffer nonempty.	The goal constrains both throughput and service fairness over time.	optimizes-total-flow-and-violates-fairness	gpt-seeded-anthropic-build
a055	Perishable Queue	queueing-and-backpressure	age-tracking	serve-or-discard	Tiles change color as they wait and become unusable after a visible age. The player may serve, reorder only at designated sidings, or discard a tile to protect later commitments.	Queue position and item age are separate state variables with different costs.	tracks-order-but-not-waiting-age	gpt-seeded-anthropic-build
a056	Pull System	queueing-and-backpressure	demand-signals	request-driven-production	Downstream sockets emit requests only when empty; upstream machines can overproduce and jam shared buffers. The player learns to trigger production from demand signals and maintain a small circulating inventory.	Production must be pulled by consumption rather than pushed whenever capacity exists.	overproduces-because-actions-are-available	gpt-seeded-anthropic-build
a057	Thermostat Tiles	feedback-control-and-regulation	hysteresis	setpoint-control	Heaters affect nearby tile temperatures with lag. A gate opens only when every sensor remains inside a colored band for several turns, requiring anticipation rather than one-frame matching.	The target is sustained regulation of a delayed field, not reaching a threshold once.	oscillates-around-setpoint	gpt-seeded-anthropic-build
a058	Reservoir Governor	feedback-control-and-regulation	coupled-levels	valve-control	Three reservoirs exchange fluid while an intermittent pump adds volume. The player adjusts valves to keep all levels inside safe bands until the pump finishes.	Actions redistribute a shared disturbance across coupled controlled variables.	regulates-one-reservoir-at-expense-of-others	gpt-seeded-anthropic-build
a059	Cruise Beetle	feedback-control-and-regulation	velocity-control	throttle-and-brake	A beetle's speed is shown by its trail length while terrain slope adds acceleration. The player maintains a target speed through changing slopes using discrete throttle and brake pulses.	The regulated quantity is velocity, not position, and terrain supplies a persistent disturbance.	controls-position-while-ignoring-speed	gpt-seeded-anthropic-build
a060	Balance Pole	feedback-control-and-regulation	unstable-dynamics	countersteer	A load atop a pivot falls unless small cart motions keep its visible lean centered. The cart must also progress slowly to a destination without saturating either edge.	Goal progress and stabilization compete on the same control channel.	delays-correction-until-instability-is-large	gpt-seeded-anthropic-build
a061	Predator Valve	feedback-control-and-regulation	population-control	rate-adjustment	Two species reproduce and consume one another under visible local rules. The player opens migration valves to keep both populations within bands long enough to restore a habitat.	Neither maximization nor elimination wins; feedback must regulate a coupled oscillatory system.	optimizes-one-population-monotonically	gpt-seeded-anthropic-build
a062	Hysteresis House	feedback-control-and-regulation	mode-memory	heat-cool-switch	Doors respond to temperature with different open and close thresholds. The player cycles one heater to maintain a traversable sequence, exploiting the memory band instead of chasing exact values.	Identical current temperatures can imply different door states because history matters.	models-thresholds-without-hysteresis	gpt-seeded-anthropic-build
a063	Delayed Feedback	feedback-control-and-regulation	observation-lag	act-and-monitor	A greenhouse display shows moisture from three turns ago while irrigation acts immediately. The player learns the display lag and avoids overwatering a moving plant bed.	Both actuator and sensor are reliable, but their timestamps differ.	reats-delayed-measurement-as-current-state	gpt-seeded-anthropic-build
a064	Coupled Controllers	feedback-control-and-regulation	interaction-control	alternating-adjustment	Two automatic regulators each stabilize one side of a shared platform but fight when tuned aggressively. The player selects among visible gain tiles so the combined system settles.	Individually sensible controllers create oscillation through coupling.	tunes-controllers-in-isolation	gpt-seeded-anthropic-build
a065	Wagon Wheel	sampling-frequency-and-aliasing	motion-inference	change-sampling-rate	A rotating spoke appears to turn forward, stop, or reverse under different strobe intervals. The player changes the sampling pulse, infers true rotation, then couples the wheel at the correct phase.	Observation frequency changes apparent dynamics while the underlying motion remains fixed.	trusts-aliased-direction	gpt-seeded-anthropic-build
a066	Strobe Swarm	sampling-frequency-and-aliasing	multi-rate-tracking	sample-and-intercept	Several insects move on different short periods but are visible only on chosen flash turns. A limited flash schedule must reveal enough phase information to place one intercept net.	Sampling times, not viewing locations, determine identifiability.	samples-at-repeating-blind-phase	gpt-seeded-anthropic-build
a067	Nyquist Bridge	sampling-frequency-and-aliasing	structural-vibration	probe-rate	A bridge alternates among load shapes faster than the default observation rhythm. The player may double or halve the viewing interval and must identify the true cycle before sending a cart.	A safe decision requires selecting a sufficient sampling rate, not predicting from default frames.	invents-simple-cycle-from-undersampled-frames	gpt-seeded-anthropic-build
a068	Beat Detector	sampling-frequency-and-aliasing	frequency-comparison	observe-coincidences	Two hidden rotors expose markers only when their phases coincide, producing a slow beat. The player infers their small frequency difference and schedules a transfer at the next coincidence.	Long apparent periodicity arises from two nearby fast cycles.	models-beat-as-single-slow-oscillator	gpt-seeded-anthropic-build
a069	Sparse Tracker	sampling-frequency-and-aliasing	state-estimation	choose-observations	A target moves with constant velocity and occasional visible boundary bounces. The player can reveal it on only four turns, then must place a catcher at a future position.	Sparse samples support trajectory estimation; exhaustive visibility is impossible.	interpolates-without-accounting-for-bounces	gpt-seeded-anthropic-build
a070	Exposure Window	sampling-frequency-and-aliasing	integration-time	camera-control	A camera can take short noisy-looking snapshots or long exposures that smear moving objects into paths. The player chooses exposure length to distinguish speed classes and open matching gates.	Observation duration trades instantaneous position for integrated motion evidence.	interprets-motion-smear-as-object-shape	gpt-seeded-anthropic-build
a071	Event Sampler	sampling-frequency-and-aliasing	change-detection	event-triggered-observation	A field changes rarely but rapidly. Periodic probes waste a tiny battery, while a peripheral indicator can trigger a full observation after likely change events.	The player designs event-triggered sampling rather than fixed-rate polling.	polls-uniformly-and-exhausts-sensor	gpt-seeded-anthropic-build
a072	Moire Current	sampling-frequency-and-aliasing	spatial-aliasing	shift-overlay	Two fine stripe fields overlap to create a coarse moving pattern. The player shifts one field and uses the emergent bands to steer particles through otherwise invisible microchannels.	The useful signal is an interference artifact of spatial sampling, not either layer alone.	tracks-visible-bands-as-physical-walls	gpt-seeded-anthropic-build
a073	Four-Bar Door	articulated-kinematics	linkage-geometry	drag-joint	Four rigid links form a closed mechanism. Moving one accessible joint traces a constrained path that must carry a latch around an obstacle and into a socket.	Closed-chain constraints determine motion; parts cannot be positioned independently.	plans-joint-targets-outside-linkage-manifold	gpt-seeded-anthropic-build
a074	Linkage Walker	articulated-kinematics	gait-generation	phase-joints	A legged machine advances only when two crank phases produce a stable foot trajectory. The player adjusts link holes and phase offset, then lets it cross uneven ground.	Locomotion emerges from mechanism geometry instead of direct body movement.	optimizes-static-pose-not-cyclic-gait	gpt-seeded-anthropic-build
a075	Cam Garden	articulated-kinematics	motion-profile	shape-selection	Interchangeable cam silhouettes convert one rotating input into different follower motions. The player selects and phases cams so flowers are pressed in a required temporal pattern.	Tool shape specifies an entire motion profile, not a single affordance.	matches-peak-height-but-not-motion-timing	gpt-seeded-anthropic-build
a076	Scissor Lift	articulated-kinematics	mechanical-advantage	actuate-linkage	A stacked scissor mechanism raises cargo while widening its base and amplifying small horizontal motion. The player chooses actuation points to clear ledges without exceeding side boundaries.	Vertical reach, lateral footprint, and actuation displacement are geometrically coupled.	plans-height-without-footprint-expansion	gpt-seeded-anthropic-build
a077	Universal Joint	articulated-kinematics	axis-coupling	rotate-input	A bent shaft transmits rotation through two jointed axes, but output phase varies with bend angle. The player aligns intermediate yokes so a distant pointer tracks evenly.	Orientation and phase transmission matter jointly across a spatial linkage.	assumes-constant-angular-transfer	gpt-seeded-anthropic-build
a078	Pantograph Path	articulated-kinematics	scale-mapping	trace-shape	A pantograph copies cursor motion at an unknown scale and reflection determined by pivot placement. The player calibrates it, then traces a target contour with the remote tip while the cursor avoids obstacles.	One linked mechanism simultaneously transforms scale, orientation, and reachable space.	steers-remote-tip-as-if-directly-controlled	gpt-seeded-anthropic-build
a079	Crank Slider	articulated-kinematics	nonlinear-motion	phase-control	A rotating crank drives a slider whose speed varies across the cycle. Timed slider contact must launch objects at two different speeds using only crank phase choices.	Equal angular steps create unequal linear displacement.	assumes-linear-phase-to-position-map	gpt-seeded-anthropic-build
a080	Tendon Hand	articulated-kinematics	underactuation	pull-cables	Three tendons curl multiple finger joints with overlapping effects. The player learns the coupling and grasps irregular objects without crushing marked fragile regions.	Fewer actuators than joints create coordinated but nonindependent motion.	commands-joints-as-independent-degrees-of-freedom	gpt-seeded-anthropic-build
a081	Keystone	structural-stability-and-support	load-path	place-last-piece	An arch remains unstable until one wedge closes its force path. The player temporarily supports pieces, removes the supports in order, and tests whether the freestanding structure carries a rolling load.	Correct geometry is not enough; construction and support-removal sequence determine stability.	recognizes-final-shape-but-not-assembly-supports	gpt-seeded-anthropic-build
a082	Load Path	structural-stability-and-support	force-routing	add-braces	A roof load propagates through colored compression traces. Limited braces can redirect the trace around weak cells to the foundation without any member exceeding its capacity.	The object of planning is an invisible-to-visible force path, not physical connectivity alone.	equates-connectedness-with-load-bearing	gpt-seeded-anthropic-build
a083	Cantilever Cargo	structural-stability-and-support	torque-balance	place-and-move	A platform extends over a void and tilts according to cargo distance from its support. The player shuttles several loads across while movable counterweights occupy scarce deck space.	Moment arm matters more than total mass, distinguishing torque from simple weight balance.	balances-total-weight-without-lever-arm	gpt-seeded-anthropic-build
a084	Truss Triage	structural-stability-and-support	structural-redundancy	remove-members	A dense triangular frame contains decorative and essential bars. The player must remove enough bars to pass a vehicle through while preserving a rigid path under several load directions.	The task asks which structure can be removed safely, not which pieces to add.	removes-locally-unloaded-but-globally-essential-member	gpt-seeded-anthropic-build
a085	Buckle Line	structural-stability-and-support	compression-instability	orient-columns	Thin columns support equal loads but buckle along their weak orientation. The player rotates and laterally braces them so a descending press reaches full force.	Strength depends on orientation and unsupported length rather than color-coded capacity.	models-compression-members-as-rigid	gpt-seeded-anthropic-build
a086	Counterbrace	structural-stability-and-support	dynamic-loads	configure-bracing	A tower sways left and right under a visible alternating load. One-way tension braces work only in pull, so paired diagonals must be arranged to resist both phases.	Members have directional structural function under changing loads.	uses-single-brace-for-bidirectional-load	gpt-seeded-anthropic-build
a087	Archipelago Bridge	structural-stability-and-support	settlement	span-and-adjust	Bridge piers on soft islands sink by visible amounts after each placed span. The player sequences spans and shims so the final deck becomes level only after settlement.	Construction actions alter future support heights through accumulated load.	plans-on-initial-support-geometry	gpt-seeded-anthropic-build
a088	Foundation Shift	structural-stability-and-support	center-of-support	mobile-base	A tall stack can be carried only by sliding foundation tiles underneath it one at a time. The projected center must remain inside the current support polygon during every intermediate move.	Stability is constrained throughout a base-reconfiguration sequence, not just at endpoints.	checks-balance-only-after-each-transfer	gpt-seeded-anthropic-build
a089	Memory Cloth	deformable-material-reasoning	shape-memory	stretch-and-release	A patterned cloth stretches around pegs and retains a fraction of deformation after release. Repeated pulls train a permanent crease pattern that must fit a rigid frame.	Material history accumulates continuously across otherwise reversible-looking manipulations.	assumes-release-restores-original-shape	gpt-seeded-anthropic-build
a090	Soft Key	deformable-material-reasoning	contact-geometry	compress-and-insert	A soft object can squeeze through narrow locks but expands into side cavities. The player controls compression direction and timing so its final expanded outline contacts all required pins.	Passage and activation depend on different deformed states of one object.	plans-with-rigid-footprint	gpt-seeded-anthropic-build
a091	Pinched Tube	deformable-material-reasoning	flow-deformation	place-clamps	Fluid travels through a flexible tube whose cross-section narrows under movable clamps and bulges elsewhere. The player shapes pressure and timing to split one pulse among receivers.	Geometry responds to flow and then changes the flow, forming a material-fluid coupling.	treats-clamps-as-static-valves	gpt-seeded-anthropic-build
a092	Crease Memory	deformable-material-reasoning	plastic-hinges	fold-and-unfold	A sheet may be folded along any grid line, but repeated folds weaken a crease into a permanent hinge. The player creates just enough hinges for a later autonomous folding sequence.	Repeated use changes the operation set by modifying material memory.	tracks-shape-but-not-crease-history	gpt-seeded-anthropic-build
